# Opposite words, as one context.
#
# One rule to a line: the source word, a space, then the opposite word to put in its place.
# Lowercase only; combine with a case table if uppercase variants are needed.

love hate
hate love
happy sad
sad happy
good bad
bad good
right wrong
wrong right
true false
false true
yes no
no yes
hot cold
cold hot
warm cool
cool warm
light dark
dark light
bright dim
dim bright
big small
small big
large tiny
tiny large
tall short
short tall
long brief
brief long
wide narrow
narrow wide
thick thin
thin thick
heavy light
light heavy
hard soft
soft hard
strong weak
weak strong
fast slow
slow fast
early late
late early
new old
old new
young old
old young
fresh stale
stale fresh
clean dirty
dirty clean
rich poor
poor rich
full empty
empty full
open closed
closed open
near far
far near
high low
low high
above below
below above
inside outside
outside inside
front back
back front
left right
right left
up down
down up
top bottom
bottom top
begin end
end begin
start finish
finish start
first last
last first
before after
after before
always never
never always
all none
none all
many few
few many
more less
less more
maximum minimum
minimum maximum
increase decrease
decrease increase
grow shrink
shrink grow
gain lose
lose gain
win lose
lose win
success failure
failure success
accept reject
reject accept
allow forbid
forbid allow
include exclude
exclude include
enter exit
exit enter
arrive depart
depart arrive
come go
go come
push pull
pull push
build destroy
destroy build
create erase
erase create
add remove
remove add
save delete
delete save
buy sell
sell buy
give take
take give
send receive
receive send
connect disconnect
disconnect connect
attach detach
detach attach
lock unlock
unlock lock
show hide
hide show
raise lower
lower raise
ascend descend
descend ascend
advance retreat
retreat advance
attack defend
defend attack
peace war
war peace
friend enemy
enemy friend
safe dangerous
dangerous safe
calm angry
angry calm
kind cruel
cruel kind
polite rude
rude polite
honest dishonest
dishonest honest
fair unfair
unfair fair
legal illegal
illegal legal
possible impossible
impossible possible
visible invisible
invisible visible
known unknown
unknown known
public private
private public
normal strange
strange normal
simple complex
complex simple
easy difficult
difficult easy
quiet loud
loud quiet
smooth rough
rough smooth
dry wet
wet dry
solid liquid
liquid solid
alive dead
dead alive
awake asleep
asleep awake
active passive
passive active
busy idle
idle busy
same different
different same
single double
double single
major minor
minor major
positive negative
negative positive
plus minus
minus plus
north south
south north
east west
west east
import export
export import
input output
output input
